"Hypothesis","Network","Summary_node","N_nodes","Strength","CI_lower","CI_upper","Rank","N_sig_higher","N_sig_lower","N_comparisons","Sig_highest","Sig_lowest","Verdict"
"H1","Study1_SUSPECTS_DEU","CM",9,0.685,0.615,0.726,9,0,8,8,FALSE,TRUE,"falsified"
"H1","Study1_SUSPECTS_ESP","CM",9,0.499,0.444,0.561,9,0,8,8,FALSE,TRUE,"falsified"
"H1","Study1_SUSPECTS_FRA","CM",9,0.734,0.696,0.804,8,1,6,8,FALSE,FALSE,"inconclusive"
"H1","Study1_SUSPECTS_GBR","CM",9,0.63,0.574,0.68,9,0,8,8,FALSE,TRUE,"falsified"
"H1","Study1_SUSPECTS_ITA","CM",9,0.62,0.557,0.658,9,0,8,8,FALSE,TRUE,"falsified"
"H1","Study1_SUSPECTS_POL","CM",9,0.482,0.446,0.569,9,0,8,8,FALSE,TRUE,"falsified"
"H1","Study1_SUSPECTS_SWE","CM",9,0.602,0.539,0.646,9,0,8,8,FALSE,TRUE,"falsified"
"H1","Study1_SUSPECTS_USA","CM",9,0.683,0.625,0.723,9,0,8,8,FALSE,TRUE,"falsified"
"H1","Study2_ACTS_USA","CM",7,1.002,0.928,1.074,1,3,0,6,FALSE,FALSE,"inconclusive"
"H1","Study3_CMQ_Australia","CM",5,0.202,0.093,0.278,5,0,4,4,FALSE,TRUE,"falsified"
"H1","Study3_CMQ_Brazil","CM",5,0.207,0.112,0.387,5,0,4,4,FALSE,TRUE,"falsified"
"H1","Study3_CMQ_Canada","CM",5,0.439,0.382,0.638,5,0,4,4,FALSE,TRUE,"falsified"
"H1","Study3_CMQ_Germany","CM",5,0.38,0.291,0.459,5,0,4,4,FALSE,TRUE,"falsified"
"H1","Study3_CMQ_Lebanon","CM",5,0.187,0.091,0.369,5,0,4,4,FALSE,TRUE,"falsified"
"H1","Study3_CMQ_Morocco","CM",5,0.349,0.305,0.655,5,0,2,4,FALSE,FALSE,"inconclusive"
"H1","Study3_CMQ_South Africa","CM",5,0.229,0.129,0.451,5,0,4,4,FALSE,TRUE,"falsified"
"H1","Study3_CMQ_United States","CM",5,0.607,0.499,0.683,5,0,2,4,FALSE,FALSE,"inconclusive"
"H2","Study1_SUSPECTS_DEU","CB",6,0.972,0.911,1.042,1,4,0,5,FALSE,FALSE,"inconclusive"
"H2","Study1_SUSPECTS_ESP","CB",6,0.716,0.663,0.771,5,0,4,5,FALSE,FALSE,"inconclusive"
"H2","Study1_SUSPECTS_FRA","CB",6,1.003,0.945,1.065,1,5,0,5,TRUE,FALSE,"supported"
"H2","Study1_SUSPECTS_GBR","CB",6,0.929,0.872,0.983,1,3,0,5,FALSE,FALSE,"inconclusive"
"H2","Study1_SUSPECTS_ITA","CB",6,0.853,0.793,0.91,3,1,1,5,FALSE,FALSE,"inconclusive"
"H2","Study1_SUSPECTS_POL","CB",6,0.738,0.681,0.812,5,1,3,5,FALSE,FALSE,"inconclusive"
"H2","Study1_SUSPECTS_SWE","CB",6,0.85,0.78,0.91,3,3,1,5,FALSE,FALSE,"inconclusive"
"H2","Study1_SUSPECTS_USA","CB",6,0.954,0.892,1.012,1,4,0,5,FALSE,FALSE,"inconclusive"
"H2","Study2_ACTS_USA","CB",5,0.722,0.672,0.791,4,1,3,4,FALSE,FALSE,"inconclusive"
"H2","Study3_CMQ_Australia","CB",6,0.637,0.383,0.755,6,0,5,5,FALSE,TRUE,"falsified"
"H2","Study3_CMQ_Brazil","CB",6,0.429,0.172,0.501,6,0,5,5,FALSE,TRUE,"falsified"
"H2","Study3_CMQ_Canada","CB",6,0.526,0.438,0.731,6,0,5,5,FALSE,TRUE,"falsified"
"H2","Study3_CMQ_Germany","CB",6,0.588,0.37,0.725,6,0,5,5,FALSE,TRUE,"falsified"
"H2","Study3_CMQ_Lebanon","CB",6,0.231,0.077,0.357,6,0,5,5,FALSE,TRUE,"falsified"
"H2","Study3_CMQ_Morocco","CB",6,0.228,0.136,0.365,6,0,5,5,FALSE,TRUE,"falsified"
"H2","Study3_CMQ_South Africa","CB",6,0.19,0.131,0.353,6,0,5,5,FALSE,TRUE,"falsified"
"H2","Study3_CMQ_United States","CB",6,0.392,0.304,0.662,6,0,5,5,FALSE,TRUE,"falsified"
